Year,LocationAbbr,LocationDesc,Category,Indicator,Response,Data_Value_Unit,Data_Value_Type,Data_Value,Number,WeightedNumber,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,Geolocation,Longitude,Latitude
2016,AR,Arkansas,Prevention & Screenings,Up-to-date colorectal cancer screening among adults 50 to 75 years of age,Yes,%,Prevalence,4.200204952921578,5.662960480135946,11.65985297756508,Disability Status,Any Disability,Sex,Male,POINT (-79.024370025976 52.397621526608),-79.024370025976,52.397621526608
2016,CO,Colorado,Barriers & Costs of Health Care,Health care coverage among adults 18 years of age or older,Yes,%,Age-adjusted Prevalence,4.5217885770490405,6.816735880594968,12.532440432279635,Disability Type,Cognitive Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",POINT (-90.595401675312 57.430515582253),-90.595401675312,57.430515582253
2016,CT,Connecticut,General Health Conditions,Average hours of sleep in a 24-hour period among adults 18 years of age or older,1-6 Hours,%,Age-adjusted Prevalence,4.110873864173311,6.3561076606958915,11.825873156544484,Disability Type,Mobility Disability,Race/Ethnicity,"Black, non-Hispanic",POINT (-77.856716965924 62.002797721179),-77.856716965924,62.002797721179
2016,DE,Delaware,Barriers & Costs of Health Care,Health care coverage among adults 18 years of age or older,No,%,Age-adjusted Prevalence,3.367295829986474,4.663439094112067,9.593764349207467,Disability Status,No Disability,Race/Ethnicity,Hispanic,POINT (-75.679430875014 42.568879393045),-75.679430875014,42.568879393045
2016,AK,Alaska,Chronic Conditions,Ever had diabetes among adults 18 years of age or older,Yes,%,Age-adjusted Prevalence,2.8390784635086144,4.394449154672439,9.27818591887125,Disability Status,Any Disability,Sex,Female,POINT (-82.098355198715 63.706239959048),-82.098355198715,63.706239959048
2016,CA,California,Demographics,Employment status among adults 18 years of age or older,Employed,%,Age-adjusted Prevalence,4.165113633110308,8.536995818712418,16.464196950424306,Disability Status,No Disability,Sex,Male,POINT (-91.497557850641 43.060484369319),-91.497557850641,43.060484369319
2016,AK,Alaska,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,18-44,%,Prevalence,2.2407096892759584,4.07753744390572,10.065861471520387,Disability Type,Cognitive Disability,Sex,Female,POINT (-82.814612657923 58.467818546689),-82.814612657923,58.467818546689
2016,CA,California,Prevention & Screenings,Had a flu vaccine in the past 12 months among adults 18 years of age or older,No,%,Age-adjusted Prevalence,4.2626798770413155,5.634789603169249,13.50419404619259,Disability Type,Vision Disability,Race/Ethnicity,"White, non-Hispanic",POINT (-92.989202409162 53.426570636666),-92.989202409162,53.426570636666
2016,AR,Arkansas,Chronic Conditions,Ever had chronic obstructive pulmonary disease (COPD) among adults 18 years of age or older,No,%,Age-adjusted Prevalence,4.54369627867038,6.554474163834467,13.319250559112731,Disability Status,Any Disability,Race/Ethnicity,Hispanic,POINT (-76.505170260023 49.623034017679),-76.505170260023,49.623034017679
2016,AL,Alabama,Health Risks & Behaviors,Body mass index category among adults 18 years of age or older,Obese,%,Age-adjusted Prevalence,3.7232808808312687,5.937536205082426,12.228782806556465,Disability Type,Cognitive Disability,Age Group,65+,POINT (-91.118602896172 48.003799817500),-91.118602896172,48.0037998175
2016,AL,Alabama,Health Risks & Behaviors,Body mass index category among adults 18 years of age or older,Underweight,%,Age-adjusted Prevalence,4.208435072524748,6.764248842814566,13.402685485885943,Disability Type,Vision Disability,Race/Ethnicity,"Black, non-Hispanic",POINT (-92.511959271172 62.936424249051),-92.511959271172,62.936424249051
2016,AR,Arkansas,Chronic Conditions,Ever had a stroke among adults 18 years of age or older,No,%,Age-adjusted Prevalence,4.5591262474866845,4.68213122712422,10.429546556942707,Disability Status,Any Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",POINT (-69.410234873522 44.095408992702),-69.410234873522,44.095408992702
2016,AR,Arkansas,General Health Conditions,Average hours of sleep in a 24-hour period among adults 18 years of age or older,1-6 Hours,%,Age-adjusted Prevalence,3.6584202466292277,5.583496308781699,11.820196906686194,Disability Status,Any Disability,Sex,Male,POINT (-90.018792498215 55.093516690449),-90.018792498215,55.093516690449
2016,AL,Alabama,Barriers & Costs of Health Care,Health care coverage among adults 18 years of age or older,No,%,Age-adjusted Prevalence,2.2925347571405443,5.214935757608986,11.82607058485854,Disability Status,No Disability,Race/Ethnicity,"White, non-Hispanic",POINT (-75.295536336993 59.186283284230),-75.295536336993,59.18628328423
2016,CO,Colorado,Demographics,Income level among adults 18 years of age or older,"$15,000 to <$25,000",%,Age-adjusted Prevalence,2.8213788864092133,4.941642422609304,10.228140212351999,Disability Type,Hearing Disability,Race/Ethnicity,"Black, non-Hispanic",POINT (-71.665838501111 41.766106137932),-71.665838501111,41.766106137932
2016,AK,Alaska,General Health Conditions,Physically unhealthy days in the past 30 days among adults 18 years of age or older,1-13 Days,%,Age-adjusted Prevalence,3.370738174177447,5.71042701737487,10.928937575575254,Disability Status,No Disability,Sex,Female,POINT (-70.454863321372 47.856265093714),-70.454863321372,47.856265093714
2016,CA,California,Health Risks & Behaviors,Body mass index category among adults 18 years of age or older,Normal Weight,%,Age-adjusted Prevalence,3.475067230228611,6.093569770045136,13.788426062100445,Disability Status,Any Disability,Sex,Female,POINT (-91.939946760614 40.784317305212),-91.939946760614,40.784317305212
2016,CO,Colorado,Prevention & Screenings,Mammogram in the past 2 years among females 50 to 74 years of age,Yes,%,Prevalence,4.378269585796169,4.820281565605037,10.045941520331061,Disability Type,Hearing Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",POINT (-90.689108613390 40.189065054732),-90.68910861339,40.189065054732
2016,CO,Colorado,Mental & Emotional Health,Mentally unhealthy days in the past 30 days among adults 18 years of age or older,14+ Days,%,Age-adjusted Prevalence,3.3843902633457743,5.442417710521793,11.301117423319765,Disability Status,Any Disability,Sex,Male,POINT (-75.769980206354 41.151815625567),-75.769980206354,41.151815625567
2016,AK,Alaska,Barriers & Costs of Health Care,Personal doctor or health care provider among adults 18 years of age or older,Yes,%,Age-adjusted Prevalence,4.09933210373314,3.4657359027997265,9.754059039044199,Disability Status,No Disability,Race/Ethnicity,Hispanic,POINT (-76.321672558008 55.565620044552),-76.321672558008,55.565620044552
2016,DE,Delaware,Barriers & Costs of Health Care,Personal doctor or health care provider among adults 18 years of age or older,Yes,%,Age-adjusted Prevalence,2.8507065015037334,5.41610040220442,10.821616593683924,Disability Status,No Disability,Race/Ethnicity,"White, non-Hispanic",POINT (-78.354685778948 54.389333324724),-78.354685778948,54.389333324724
2016,AR,Arkansas,Mental & Emotional Health,Ever had depression among adults 18 years of age or older,No,%,Age-adjusted Prevalence,4.540098189244376,4.330733340286331,11.431031878810726,Disability Status,No Disability,Race/Ethnicity,Hispanic,POINT (-79.229205788038 59.330283310174),-79.229205788038,59.330283310174
2016,DE,Delaware,Prevention & Screenings,Up-to-date cervical cancer screening among females 21 to 65 years of age,Yes,%,Prevalence,4.4272389774954295,6.556778356158042,11.90722176685219,Disability Status,No Disability,Race/Ethnicity,Hispanic,POINT (-72.251147127795 57.805868204102),-72.251147127795,57.805868204102
2016,AZ,Arizona,Health Risks & Behaviors,Body mass index category among adults 18 years of age or older,Underweight,%,Age-adjusted Prevalence,4.3272958351965,3.757547620645981,11.536667954787294,Disability Status,Any Disability,Sex,Female,POINT (-78.598334716197 57.214804906474),-78.598334716197,57.214804906474
2016,CT,Connecticut,General Health Conditions,Fallen in the past 12 months among adults 45 years of age or older,No,%,Age-adjusted Prevalence,4.0943445622221,7.170888478512505,12.410367674245526,Disability Status,Any Disability,Sex,Female,POINT (-91.076110985680 43.314814766439),-91.07611098568,43.314814766439
2016,AZ,Arizona,Health Risks & Behaviors,Smoking status among adults 18 years of age or older,Never Smoker,%,Prevalence,3.9415818076696905,7.288927694521257,12.678361162430852,Disability Status,No Disability,Age Group,65+,POINT (-75.373120895175 43.204065446220),-75.373120895175,43.20406544622
2016,AL,Alabama,Chronic Conditions,Ever had arthritis among adults 18 years of age or older,Yes,%,Age-adjusted Prevalence,4.198704577546343,7.133295954896068,13.18277338795812,Disability Type,Mobility Disability,Race/Ethnicity,Hispanic,POINT (-91.119215524563 60.204343521055),-91.119215524563,60.204343521055
2016,CO,Colorado,General Health Conditions,Fair or poor self-rated health among adults 18 years of age or older,Yes,%,Prevalence,3.681351187693145,5.1647859739235145,11.500822518902483,Disability Status,Any Disability,Age Group,18-44,POINT (-93.188961472449 45.839881840241),-93.188961472449,45.839881840241
2016,AL,Alabama,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,18-44,%,Prevalence,2.2925347571405443,5.176149732573829,11.898357919328157,Disability Type,Mobility Disability,Age Group,21-35,POINT (-89.260994546450 46.139459208299),-89.26099454645,46.139459208299
2016,AZ,Arizona,Prevention & Screenings,Had a flu vaccine in the past 12 months among adults 18 years of age or older,Yes,%,Prevalence,3.983413001514819,7.3395376954076745,12.71490628661537,Disability Status,No Disability,Age Group,65+,POINT (-87.761649912547 49.539587658157),-87.761649912547,49.539587658157
2016,AK,Alaska,General Health Conditions,Physically unhealthy days in the past 30 days among adults 18 years of age or older,1-13 Days,%,Prevalence,3.2733640101522705,5.493061443340548,10.490468337248462,Disability Status,No Disability,Age Group,45-64,POINT (-77.710573370440 55.325122546088),-77.71057337044,55.325122546088
2016,CO,Colorado,Health Risks & Behaviors,Body mass index category among adults 18 years of age or older,Obese,%,Age-adjusted Prevalence,3.4210000089583352,6.472346294500901,11.86783384946124,Disability Status,Any Disability,Race/Ethnicity,"White, non-Hispanic",POINT (-85.384173116870 42.486494546415),-85.38417311687,42.486494546415
2016,CO,Colorado,Health Risks & Behaviors,Binge drinking in the past 30 days among adults 18 years of age or older,No,%,Age-adjusted Prevalence,4.4953553199808844,5.293304824724492,11.447757412385977,Disability Status,No Disability,Race/Ethnicity,"Black, non-Hispanic",POINT (-69.711157396343 46.856826475575),-69.711157396343,46.856826475575
2016,AL,Alabama,Chronic Conditions,Ever had cancer (excluding skin cancer) among adults 18 years of age or older,Yes,%,Prevalence,2.791165107812717,5.198497031265826,11.034405675956153,Disability Status,No Disability,Age Group,65+,POINT (-83.421402681802 51.309940962833),-83.421402681802,51.309940962833
2016,CA,California,Prevention & Screenings,Up-to-date colorectal cancer screening among adults 50 to 75 years of age,Yes,%,Prevalence,4.212127597878484,5.8916442118257715,13.607506819117553,Disability Status,Any Disability,Sex,Male,POINT (-82.017688863915 59.747482815882),-82.017688863915,59.747482815882
2016,CO,Colorado,Barriers & Costs of Health Care,Personal doctor or health care provider among adults 18 years of age or older,2+ Providers,%,Age-adjusted Prevalence,2.580216829592325,3.091042453358316,8.421342865759403,Disability Status,Any Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",POINT (-80.825056993433 49.832878131658),-80.825056993433,49.832878131658
2016,AZ,Arizona,Chronic Conditions,Ever had arthritis among adults 18 years of age or older,Yes,%,Age-adjusted Prevalence,3.0007198150650303,7.183111701743281,12.80970805298663,Disability Status,No Disability,Sex,Female,POINT (-88.928834816592 43.900603791185),-88.928834816592,43.900603791185
2016,CA,California,Prevention & Screenings,Mammogram in the past 2 years among females 50 to 74 years of age,Yes,%,Prevalence,4.4343818650078095,5.541263545158426,13.238666206984913,Disability Status,No Disability,Race/Ethnicity,Hispanic,POINT (-93.118831941921 48.029988859124),-93.118831941921,48.029988859124
2016,DE,Delaware,Health Risks & Behaviors,Smoking status among adults 18 years of age or older,Never Smoker,%,Age-adjusted Prevalence,4.023564380161053,6.940222469119639,12.140989976370918,Disability Status,No Disability,Race/Ethnicity,"White, non-Hispanic",POINT (-80.823380222206 43.907416404555),-80.823380222206,43.907416404555
2016,AZ,Arizona,Health Risks & Behaviors,Attempted to quit smoking in the past 12 months among adults 18 years of age or older who are current every day smokers,No,%,Age-adjusted Prevalence,4.089332020398556,5.529429087511423,11.63849146794171,Disability Status,No Disability,Race/Ethnicity,"White, non-Hispanic",POINT (-72.563249788532 56.600985661370),-72.563249788532,56.60098566137
2016,AZ,Arizona,General Health Conditions,Fallen in the past 12 months among adults 45 years of age or older,No,%,Age-adjusted Prevalence,4.096009841541162,6.492239835020471,12.395191879012556,Disability Status,Any Disability,Sex,Male,POINT (-92.223102554187 40.414636382617),-92.223102554187,40.414636382617
2016,AK,Alaska,Chronic Conditions,Ever had cancer (excluding skin cancer) among adults 18 years of age or older,No,%,Prevalence,4.3694478524670215,5.4638318050256105,10.075253595390565,Disability Status,Any Disability,Age Group,65+,POINT (-92.682194324142 54.473345138525),-92.682194324142,54.473345138525
2016,AR,Arkansas,Barriers & Costs of Health Care,Personal doctor or health care provider among adults 18 years of age or older,Yes,%,Age-adjusted Prevalence,3.4845550983568736,6.456691970828025,13.258603744852863,Disability Status,Any Disability,Race/Ethnicity,Hispanic,POINT (-70.799739058345 55.857616046959),-70.799739058345,55.857616046959
2016,CT,Connecticut,General Health Conditions,Average hours of sleep in a 24-hour period among adults 18 years of age or older,1-6 Hours,%,Age-adjusted Prevalence,3.391147045808654,6.890609120147166,12.609529070918633,Disability Status,No Disability,Sex,Male,POINT (-71.107451783185 53.545093294291),-71.107451783185,53.545093294291
2016,AL,Alabama,Prevention & Screenings,Had a flu vaccine in the past 12 months among adults 18 years of age or older,No,%,Age-adjusted Prevalence,4.204692619390966,6.3578422665081,12.695924856898502,Disability Type,Cognitive Disability,Sex,Male,POINT (-84.823107985560 42.034416764810),-84.82310798556,42.03441676481
2016,CT,Connecticut,Health Risks & Behaviors,Binge drinking in the past 30 days among adults 18 years of age or older,Yes,%,Age-adjusted Prevalence,3.3463891451671604,2.772588722239781,8.792701462936309,Disability Status,Any Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",POINT (-80.404243826000 42.158118818375),-80.404243826,42.158118818375
2016,DE,Delaware,Demographics,Income level among adults 18 years of age or older,"<$15,000",%,Age-adjusted Prevalence,3.0819099697950434,4.356708826689592,9.409273194575334,Disability Type,Cognitive Disability,Age Group,21-35,POINT (-77.159184413771 57.680927105503),-77.159184413771,57.680927105503
2016,AK,Alaska,Disability Estimates,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,1.667706820558076,4.983606621708336,10.062540482390729,Overall,Overall,Age Group,21-35,POINT (-91.307193405286 55.394819990209),-91.307193405286,55.394819990209
2016,AK,Alaska,Health Risks & Behaviors,Smoking status among adults 18 years of age or older,Never Smoker,%,Age-adjusted Prevalence,3.648057459593681,5.087596335232384,9.869672204041397,Disability Status,Any Disability,Race/Ethnicity,"White, non-Hispanic",POINT (-77.564928288368 50.107484865349),-77.564928288368,50.107484865349
2016,AR,Arkansas,General Health Conditions,Average hours of sleep in a 24-hour period among adults 18 years of age or older,10+ Hours,%,Age-adjusted Prevalence,4.449554777084398,4.253962906599341,12.083529080663435,Disability Type,Vision Disability,Age Group,65+,POINT (-69.482590186582 43.706552234047),-69.482590186582,43.706552234047
2016,AR,Arkansas,Health Risks & Behaviors,Body mass index category among adults 18 years of age or older,Obese,%,Age-adjusted Prevalence,3.3124625474231326,6.712318353803653,12.880088800068727,Disability Status,Any Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",POINT (-91.565788979579 54.701814227511),-91.565788979579,54.701814227511
2016,DE,Delaware,Chronic Conditions,Ever had chronic obstructive pulmonary disease (COPD) among adults 18 years of age or older,Yes,%,Age-adjusted Prevalence,2.89591193827178,4.454347296253507,9.48181684008103,Disability Type,Cognitive Disability,Age Group,36-50,POINT (-76.563541160281 53.782810496391),-76.563541160281,53.782810496391
2016,CO,Colorado,General Health Conditions,Ever had heart disease among adults 18 years of age or older,No,%,Age-adjusted Prevalence,4.502029427068578,7.83241092718792,13.359695394689073,Disability Status,Any Disability,Sex,Male,POINT (-88.050004248478 40.692703434285),-88.050004248478,40.692703434285
2016,AZ,Arizona,Prevention & Screenings,Had a flu vaccine in the past 12 months among adults 18 years of age or older,Yes,%,Age-adjusted Prevalence,3.487375077903208,6.45833828334479,12.313562891701125,Disability Status,Any Disability,Sex,Male,POINT (-82.381293671865 54.876459687111),-82.381293671865,54.876459687111
2016,AL,Alabama,Demographics,Income level among adults 18 years of age or older,"<$15,000",%,Age-adjusted Prevalence,2.970414465569701,4.59511985013459,10.51211116802542,Disability Type,Hearing Disability,Sex,Male,POINT (-92.125611430521 61.503041869362),-92.125611430521,61.503041869362
2016,CA,California,Demographics,Income level among adults 18 years of age or older,"$50,000+",%,Age-adjusted Prevalence,3.5085558999826545,6.591673732008658,14.418976436819209,Disability Status,Any Disability,Age Group,45-64,POINT (-78.781839378743 42.578953052022),-78.781839378743,42.578953052022
2016,CT,Connecticut,General Health Conditions,Average hours of sleep in a 24-hour period among adults 18 years of age or older,1-6 Hours,%,Age-adjusted Prevalence,4.053522567701846,4.143134726391533,9.687505794249539,Disability Status,Any Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",POINT (-83.126887251276 47.613635272936),-83.126887251276,47.613635272936
2016,AR,Arkansas,General Health Conditions,Physically unhealthy days in the past 30 days among adults 18 years of age or older,0 Days,%,Age-adjusted Prevalence,3.7471483622379123,4.634728988229636,10.495930028974442,Disability Status,Any Disability,Race/Ethnicity,"Black, non-Hispanic",POINT (-84.722743567460 50.973639953387),-84.72274356746,50.973639953387
2016,AR,Arkansas,Prevention & Screenings,Visited a dentist in the past year among adults 18 years of age or older,No,%,Age-adjusted Prevalence,3.580737295494233,6.836259277277067,13.11949125681187,Disability Status,No Disability,Age Group,20-44,POINT (-79.895561232549 52.918578602383),-79.895561232549,52.918578602383
2016,AL,Alabama,Chronic Conditions,Ever had a stroke among adults 18 years of age or older,No,%,Age-adjusted Prevalence,4.525044141508807,7.70796153183549,13.898364387652355,Disability Status,Any Disability,Sex,Female,POINT (-90.840664752724 50.121361113239),-90.840664752724,50.121361113239
2016,CA,California,Health Risks & Behaviors,Body mass index category among adults 18 years of age or older,Normal Weight,%,Age-adjusted Prevalence,3.4965075614664802,5.793013608384144,13.572325000705101,Disability Type,Cognitive Disability,Sex,Female,POINT (-76.205015244862 50.781050264339),-76.205015244862,50.781050264339
2016,AZ,Arizona,Prevention & Screenings,Up-to-date colorectal cancer screening among adults 50 to 75 years of age,Yes,%,Prevalence,4.162003210695915,6.621405651764134,12.282264872686039,Disability Status,Any Disability,Sex,Female,POINT (-91.152388558407 51.329677617405),-91.152388558407,51.329677617405
2016,AZ,Arizona,Barriers & Costs of Health Care,Health care coverage among adults 18 years of age or older,No,%,Age-adjusted Prevalence,2.8213788864092133,3.828641396489095,10.243951810426879,Disability Type,Vision Disability,Sex,Female,POINT (-89.932852564008 53.609746284320),-89.932852564008,53.60974628432
2016,CT,Connecticut,Mental & Emotional Health,Mentally unhealthy days in the past 30 days among adults 18 years of age or older,1-13 Days,%,Prevalence,3.4011973816621555,5.497168225293202,11.04236167886593,Disability Status,Any Disability,Age Group,45-64,POINT (-69.030488096601 45.587171796500),-69.030488096601,45.5871717965
2016,AR,Arkansas,Barriers & Costs of Health Care,Personal doctor or health care provider among adults 18 years of age or older,1 Provider,%,Age-adjusted Prevalence,4.334672938290411,7.8399193600125825,13.894767110545013,Disability Status,No Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",POINT (-71.016166143989 59.770736798471),-71.016166143989,59.770736798471
2016,CO,Colorado,Chronic Conditions,Ever had cancer (excluding skin cancer) among adults 18 years of age or older,Yes,%,Age-adjusted Prevalence,0.622220675927551,4.299408601693037,12.724860517129423,Disability Status,No Disability,Race/Ethnicity,"Black, non-Hispanic",POINT (-71.794917100387 41.762844629926),-71.794917100387,41.762844629926
2016,AR,Arkansas,General Health Conditions,Fair or poor self-rated health among adults 18 years of age or older,Yes,%,Age-adjusted Prevalence,3.9259259105971376,6.678342114654332,12.624523078195658,Disability Status,Any Disability,Race/Ethnicity,"White, non-Hispanic",POINT (-75.653706643351 61.312803899694),-75.653706643351,61.312803899694
2016,CA,California,Mental & Emotional Health,Mentally unhealthy days in the past 30 days among adults 18 years of age or older,1-13 Days,%,Prevalence,3.2386784521643803,5.594711379601839,13.261518178985071,Disability Status,Any Disability,Age Group,45-64,POINT (-78.647731465544 52.387429425030),-78.647731465544,52.38742942503
2016,AK,Alaska,Health Risks & Behaviors,Ever been tested for HIV among adults 18 to 64 years of age,Yes,%,Age-adjusted Prevalence,3.912023005428146,3.4657359027997265,9.468619380058648,Disability Status,No Disability,Race/Ethnicity,Hispanic,POINT (-85.583009283654 59.806870086221),-85.583009283654,59.806870086221
2016,AZ,Arizona,Health Risks & Behaviors,Current e-cigarette use among adults 18 years of age or older,Yes,%,Prevalence,1.9878743481543455,4.499809670330265,11.720354182563913,Disability Status,No Disability,Age Group,18-44,POINT (-71.356280840469 54.254760693828),-71.356280840469,54.254760693828
2016,AR,Arkansas,Health Risks & Behaviors,Body mass index category among adults 18 years of age or older,Obese,%,Age-adjusted Prevalence,3.4719664525503626,6.439350371100098,12.653108267947745,Disability Status,No Disability,Race/Ethnicity,"White, non-Hispanic",POINT (-81.801139739571 51.570984436068),-81.801139739571,51.570984436068
2016,AL,Alabama,Health Risks & Behaviors,Ever been tested for HIV among adults 18 to 64 years of age,No,%,Age-adjusted Prevalence,4.180522258463153,7.1252830915107115,13.611408314804592,Disability Status,No Disability,Race/Ethnicity,"White, non-Hispanic",POINT (-89.375346253702 45.800010319413),-89.375346253702,45.800010319413
2016,AR,Arkansas,Prevention & Screenings,Visited a dentist in the past year among adults 18 years of age or older,No,%,Prevalence,3.6428355156125294,6.016157159698354,11.42203749277649,Disability Status,No Disability,Age Group,65+,POINT (-71.615141163860 55.508941940971),-71.61514116386,55.508941940971
2016,DE,Delaware,Mental & Emotional Health,Mentally unhealthy days in the past 30 days among adults 18 years of age or older,1-13 Days,%,Age-adjusted Prevalence,3.068052935133617,5.616771097666572,10.907844105278517,Disability Status,No Disability,Sex,Female,POINT (-92.106453684609 60.571024269250),-92.106453684609,60.57102426925
2016,AL,Alabama,Mental & Emotional Health,Mentally unhealthy days in the past 30 days among adults 18 years of age or older,1-13 Days,%,Age-adjusted Prevalence,3.4210000089583352,4.74493212836325,10.929851676996613,Disability Type,Hearing Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",POINT (-76.192493698166 57.826506839065),-76.192493698166,57.826506839065
2016,DE,Delaware,Prevention & Screenings,Up-to-date colorectal cancer screening among adults 50 to 75 years of age,Yes,%,Prevalence,4.28771595520264,6.100318952020064,11.134311613512741,Disability Status,No Disability,Sex,Male,POINT (-71.190424370729 45.162872370148),-71.190424370729,45.162872370148
2016,CA,California,General Health Conditions,Average hours of sleep in a 24-hour period among adults 18 years of age or older,1-6 Hours,%,Age-adjusted Prevalence,3.8628327612373745,6.210600077024653,13.894159987784535,Disability Status,Any Disability,Race/Ethnicity,"White, non-Hispanic",POINT (-89.551337947346 45.850063607210),-89.551337947346,45.85006360721
2016,DE,Delaware,Chronic Conditions,Ever had a stroke among adults 18 years of age or older,No,%,Age-adjusted Prevalence,4.603168183317418,7.119635638017636,12.460098394855985,Disability Status,No Disability,Sex,Male,POINT (-68.985553531137 56.141949259715),-68.985553531137,56.141949259715
2016,CA,California,Demographics,Income level among adults 18 years of age or older,"$50,000+",%,Age-adjusted Prevalence,3.342861804649192,5.805134968916488,13.626924218333738,Disability Type,Mobility Disability,Race/Ethnicity,"Black, non-Hispanic",POINT (-72.299254394061 55.249890494315),-72.299254394061,55.249890494315
2016,DE,Delaware,Chronic Conditions,Ever had diabetes among adults 18 years of age or older,Yes,%,Prevalence,3.664596092496564,6.972415657980387,9.423379721708187,Disability Status,Any Disability,Age Group,18-44,POINT (-92.641099168710 45.416653435657),-92.64109916871,45.416653435657
2016,AL,Alabama,Mental & Emotional Health,Ever had depression among adults 18 years of age or older,No,%,Age-adjusted Prevalence,3.7864597824528,3.9512437185814275,9.78633556772527,Disability Status,Any Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",POINT (-92.860122070400 52.482893434542),-92.8601220704,52.482893434542
2016,AZ,Arizona,Health Risks & Behaviors,Attempted to quit smoking in the past 12 months among adults 18 years of age or older who are current every day smokers,Yes,%,Age-adjusted Prevalence,4.155753190350744,3.58351893845611,10.055779362878386,Disability Type,Vision Disability,Age Group,51-65,POINT (-72.743009910310 61.773052683941),-72.74300991031,61.773052683941
2016,CO,Colorado,Chronic Conditions,Ever had diabetes among adults 18 years of age or older,Yes,%,Prevalence,0.832909122935104,4.02535169073515,9.990765560643188,Disability Status,No Disability,Age Group,18-44,POINT (-90.927892097420 64.661870483388),-90.92789209742,64.661870483388
2016,CO,Colorado,Chronic Conditions,Ever had arthritis among adults 18 years of age or older,Yes,%,Age-adjusted Prevalence,4.115779842942166,7.075808863978387,12.346264930077464,Disability Type,Mobility Disability,Race/Ethnicity,Hispanic,POINT (-74.524090132486 58.990837957612),-74.524090132486,58.990837957612
