Year,LocationAbbr,LocationDesc,Category,Indicator,Response,Data_Value_Unit,Data_Value_Type,Data_Value,Number,WeightedNumber,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,Geolocation,Longitude,Latitude
2016,AR,Arkansas,Prevention & Screenings,Up-to-date colorectal cancer screening among adults 50 to 75 years of age,Yes,%,Prevalence,65.7,287.0,115826.0,Disability Status,Any Disability,Sex,Male,POINT (-79.024370025976 52.397621526608),-79.024370025976,52.397621526608
2016,CO,Colorado,Barriers & Costs of Health Care,Health care coverage among adults 18 years of age or older,Yes,%,Age-adjusted Prevalence,91.0,912.0,277184.0,Disability Type,Cognitive Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",POINT (-90.595401675312 57.430515582253),-90.595401675312,57.430515582253
2016,CT,Connecticut,General Health Conditions,Average hours of sleep in a 24-hour period among adults 18 years of age or older,1-6 Hours,%,Age-adjusted Prevalence,60.0,575.0,136744.0,Disability Type,Mobility Disability,Race/Ethnicity,"Black, non-Hispanic",POINT (-77.856716965924 62.002797721179),-77.856716965924,62.002797721179
2016,DE,Delaware,Barriers & Costs of Health Care,Health care coverage among adults 18 years of age or older,No,%,Age-adjusted Prevalence,28.0,105.0,14672.0,Disability Status,No Disability,Race/Ethnicity,Hispanic,POINT (-75.679430875014 42.568879393045),-75.679430875014,42.568879393045
2016,AK,Alaska,Chronic Conditions,Ever had diabetes among adults 18 years of age or older,Yes,%,Age-adjusted Prevalence,16.1,80.0,10701.0,Disability Status,Any Disability,Sex,Female,POINT (-82.098355198715 63.706239959048),-82.098355198715,63.706239959048
2016,CA,California,Demographics,Employment status among adults 18 years of age or older,Employed,%,Age-adjusted Prevalence,63.4,5099.0,14135457.0,Disability Status,No Disability,Sex,Male,POINT (-91.497557850641 43.060484369319),-91.497557850641,43.060484369319
2016,AK,Alaska,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,18-44,%,Prevalence,8.4,58.0,23525.0,Disability Type,Cognitive Disability,Sex,Female,POINT (-82.814612657923 58.467818546689),-82.814612657923,58.467818546689
2016,CA,California,Prevention & Screenings,Had a flu vaccine in the past 12 months among adults 18 years of age or older,No,%,Age-adjusted Prevalence,70.0,279.0,732481.0,Disability Type,Vision Disability,Race/Ethnicity,"White, non-Hispanic",POINT (-92.989202409162 53.426570636666),-92.989202409162,53.426570636666
2016,AR,Arkansas,Chronic Conditions,Ever had chronic obstructive pulmonary disease (COPD) among adults 18 years of age or older,No,%,Age-adjusted Prevalence,93.03774823901932,701.3797160440107,608802.332326522,Disability Status,Any Disability,Race/Ethnicity,Hispanic,POINT (-76.505170260023 49.623034017679),-76.505170260023,49.623034017679
2016,AL,Alabama,Health Risks & Behaviors,Body mass index category among adults 18 years of age or older,Obese,%,Age-adjusted Prevalence,40.4,378.0,204593.0,Disability Type,Cognitive Disability,Age Group,65+,POINT (-91.118602896172 48.003799817500),-91.118602896172,48.0037998175
2016,AL,Alabama,Health Risks & Behaviors,Body mass index category among adults 18 years of age or older,Underweight,%,Age-adjusted Prevalence,66.25121414533831,865.3152244193476,661777.0361597802,Disability Type,Vision Disability,Race/Ethnicity,"Black, non-Hispanic",POINT (-92.511959271172 62.936424249051),-92.511959271172,62.936424249051
2016,AR,Arkansas,Chronic Conditions,Ever had a stroke among adults 18 years of age or older,No,%,Age-adjusted Prevalence,94.5,107.0,33844.0,Disability Status,Any Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",POINT (-69.410234873522 44.095408992702),-69.410234873522,44.095408992702
2016,AR,Arkansas,General Health Conditions,Average hours of sleep in a 24-hour period among adults 18 years of age or older,1-6 Hours,%,Age-adjusted Prevalence,37.8,265.0,135970.0,Disability Status,Any Disability,Sex,Male,POINT (-90.018792498215 55.093516690449),-90.018792498215,55.093516690449
2016,AL,Alabama,Barriers & Costs of Health Care,Health care coverage among adults 18 years of age or older,No,%,Age-adjusted Prevalence,8.9,183.0,136771.0,Disability Status,No Disability,Race/Ethnicity,"White, non-Hispanic",POINT (-75.295536336993 59.186283284230),-75.295536336993,59.18628328423
2016,CO,Colorado,Demographics,Income level among adults 18 years of age or older,"$15,000 to <$25,000",%,Age-adjusted Prevalence,15.8,139.0,27670.0,Disability Type,Hearing Disability,Race/Ethnicity,"Black, non-Hispanic",POINT (-71.665838501111 41.766106137932),-71.665838501111,41.766106137932
2016,AK,Alaska,General Health Conditions,Physically unhealthy days in the past 30 days among adults 18 years of age or older,1-13 Days,%,Age-adjusted Prevalence,28.1,301.0,55766.0,Disability Status,No Disability,Sex,Female,POINT (-70.454863321372 47.856265093714),-70.454863321372,47.856265093714
2016,CA,California,Health Risks & Behaviors,Body mass index category among adults 18 years of age or older,Normal Weight,%,Age-adjusted Prevalence,31.3,442.0,973278.0,Disability Status,Any Disability,Sex,Female,POINT (-91.939946760614 40.784317305212),-91.939946760614,40.784317305212
2016,CO,Colorado,Prevention & Screenings,Mammogram in the past 2 years among females 50 to 74 years of age,Yes,%,Prevalence,78.7,123.0,23061.0,Disability Type,Hearing Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",POINT (-90.689108613390 40.189065054732),-90.68910861339,40.189065054732
2016,CO,Colorado,Mental & Emotional Health,Mentally unhealthy days in the past 30 days among adults 18 years of age or older,14+ Days,%,Age-adjusted Prevalence,28.5,230.0,80911.0,Disability Status,Any Disability,Sex,Male,POINT (-75.769980206354 41.151815625567),-75.769980206354,41.151815625567
2016,AK,Alaska,Barriers & Costs of Health Care,Personal doctor or health care provider among adults 18 years of age or older,Yes,%,Age-adjusted Prevalence,59.3,31.0,17223.0,Disability Status,No Disability,Race/Ethnicity,Hispanic,POINT (-76.321672558008 55.565620044552),-76.321672558008,55.565620044552
2016,DE,Delaware,Barriers & Costs of Health Care,Personal doctor or health care provider among adults 18 years of age or older,Yes,%,Age-adjusted Prevalence,16.3,224.0,50091.0,Disability Status,No Disability,Race/Ethnicity,"White, non-Hispanic",POINT (-78.354685778948 54.389333324724),-78.354685778948,54.389333324724
2016,AR,Arkansas,Mental & Emotional Health,Ever had depression among adults 18 years of age or older,No,%,Age-adjusted Prevalence,92.7,75.0,92136.0,Disability Status,No Disability,Race/Ethnicity,Hispanic,POINT (-79.229205788038 59.330283310174),-79.229205788038,59.330283310174
2016,DE,Delaware,Prevention & Screenings,Up-to-date cervical cancer screening among females 21 to 65 years of age,Yes,%,Prevalence,82.7,703.0,148333.0,Disability Status,No Disability,Race/Ethnicity,Hispanic,POINT (-72.251147127795 57.805868204102),-72.251147127795,57.805868204102
2016,AZ,Arizona,Health Risks & Behaviors,Body mass index category among adults 18 years of age or older,Underweight,%,Age-adjusted Prevalence,74.73919812387356,41.84322918954466,102401.6586661679,Disability Status,Any Disability,Sex,Female,POINT (-78.598334716197 57.214804906474),-78.598334716197,57.214804906474
2016,CT,Connecticut,General Health Conditions,Fallen in the past 12 months among adults 45 years of age or older,No,%,Age-adjusted Prevalence,59.0,1300.0,245331.0,Disability Status,Any Disability,Sex,Female,POINT (-91.076110985680 43.314814766439),-91.07611098568,43.314814766439
2016,AZ,Arizona,Health Risks & Behaviors,Smoking status among adults 18 years of age or older,Never Smoker,%,Prevalence,50.5,1463.0,320731.0,Disability Status,No Disability,Age Group,65+,POINT (-75.373120895175 43.204065446220),-75.373120895175,43.20406544622
2016,AL,Alabama,Chronic Conditions,Ever had arthritis among adults 18 years of age or older,Yes,%,Age-adjusted Prevalence,65.6,1252.0,531135.0,Disability Type,Mobility Disability,Race/Ethnicity,Hispanic,POINT (-91.119215524563 60.204343521055),-91.119215524563,60.204343521055
2016,CO,Colorado,General Health Conditions,Fair or poor self-rated health among adults 18 years of age or older,Yes,%,Prevalence,38.7,174.0,98796.0,Disability Status,Any Disability,Age Group,18-44,POINT (-93.188961472449 45.839881840241),-93.188961472449,45.839881840241
2016,AL,Alabama,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,18-44,%,Prevalence,8.9,176.0,147024.0,Disability Type,Mobility Disability,Age Group,21-35,POINT (-89.260994546450 46.139459208299),-89.26099454645,46.139459208299
2016,AZ,Arizona,Prevention & Screenings,Had a flu vaccine in the past 12 months among adults 18 years of age or older,Yes,%,Prevalence,52.7,1539.0,332669.0,Disability Status,No Disability,Age Group,65+,POINT (-87.761649912547 49.539587658157),-87.761649912547,49.539587658157
2016,AK,Alaska,General Health Conditions,Physically unhealthy days in the past 30 days among adults 18 years of age or older,1-13 Days,%,Prevalence,25.4,242.0,35970.0,Disability Status,No Disability,Age Group,45-64,POINT (-77.710573370440 55.325122546088),-77.71057337044,55.325122546088
2016,CO,Colorado,Health Risks & Behaviors,Body mass index category among adults 18 years of age or older,Obese,%,Age-adjusted Prevalence,29.6,646.0,142604.0,Disability Status,Any Disability,Race/Ethnicity,"White, non-Hispanic",POINT (-85.384173116870 42.486494546415),-85.38417311687,42.486494546415
2016,CO,Colorado,Health Risks & Behaviors,Binge drinking in the past 30 days among adults 18 years of age or older,No,%,Age-adjusted Prevalence,88.6,198.0,93690.0,Disability Status,No Disability,Race/Ethnicity,"Black, non-Hispanic",POINT (-69.711157396343 46.856826475575),-69.711157396343,46.856826475575
2016,AL,Alabama,Chronic Conditions,Ever had cancer (excluding skin cancer) among adults 18 years of age or older,Yes,%,Prevalence,15.3,180.0,61969.0,Disability Status,No Disability,Age Group,65+,POINT (-83.421402681802 51.309940962833),-83.421402681802,51.309940962833
2016,CA,California,Prevention & Screenings,Up-to-date colorectal cancer screening among adults 50 to 75 years of age,Yes,%,Prevalence,66.5,361.0,812203.0,Disability Status,Any Disability,Sex,Male,POINT (-82.017688863915 59.747482815882),-82.017688863915,59.747482815882
2016,CO,Colorado,Barriers & Costs of Health Care,Personal doctor or health care provider among adults 18 years of age or older,2+ Providers,%,Age-adjusted Prevalence,12.2,21.0,4542.0,Disability Status,Any Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",POINT (-80.825056993433 49.832878131658),-80.825056993433,49.832878131658
2016,AZ,Arizona,Chronic Conditions,Ever had arthritis among adults 18 years of age or older,Yes,%,Age-adjusted Prevalence,19.1,1316.0,365750.0,Disability Status,No Disability,Sex,Female,POINT (-88.928834816592 43.900603791185),-88.928834816592,43.900603791185
2016,CA,California,Prevention & Screenings,Mammogram in the past 2 years among females 50 to 74 years of age,Yes,%,Prevalence,83.3,254.0,561667.0,Disability Status,No Disability,Race/Ethnicity,Hispanic,POINT (-93.118831941921 48.029988859124),-93.118831941921,48.029988859124
2016,DE,Delaware,Health Risks & Behaviors,Smoking status among adults 18 years of age or older,Never Smoker,%,Age-adjusted Prevalence,54.9,1032.0,187397.0,Disability Status,No Disability,Race/Ethnicity,"White, non-Hispanic",POINT (-80.823380222206 43.907416404555),-80.823380222206,43.907416404555
2016,AZ,Arizona,Health Risks & Behaviors,Attempted to quit smoking in the past 12 months among adults 18 years of age or older who are current every day smokers,No,%,Age-adjusted Prevalence,58.7,251.0,113378.0,Disability Status,No Disability,Race/Ethnicity,"White, non-Hispanic",POINT (-72.563249788532 56.600985661370),-72.563249788532,56.60098566137
2016,AZ,Arizona,General Health Conditions,Fallen in the past 12 months among adults 45 years of age or older,No,%,Age-adjusted Prevalence,59.1,659.0,241636.0,Disability Status,Any Disability,Sex,Male,POINT (-92.223102554187 40.414636382617),-92.223102554187,40.414636382617
2016,AK,Alaska,Chronic Conditions,Ever had cancer (excluding skin cancer) among adults 18 years of age or older,No,%,Prevalence,78.0,235.0,23747.0,Disability Status,Any Disability,Age Group,65+,POINT (-92.682194324142 54.473345138525),-92.682194324142,54.473345138525
2016,AR,Arkansas,Barriers & Costs of Health Care,Personal doctor or health care provider among adults 18 years of age or older,Yes,%,Age-adjusted Prevalence,31.607916566557112,635.9505167400562,572977.6556639301,Disability Status,Any Disability,Race/Ethnicity,Hispanic,POINT (-70.799739058345 55.857616046959),-70.799739058345,55.857616046959
2016,CT,Connecticut,General Health Conditions,Average hours of sleep in a 24-hour period among adults 18 years of age or older,1-6 Hours,%,Age-adjusted Prevalence,28.7,982.0,299397.0,Disability Status,No Disability,Sex,Male,POINT (-71.107451783185 53.545093294291),-71.107451783185,53.545093294291
2016,AL,Alabama,Prevention & Screenings,Had a flu vaccine in the past 12 months among adults 18 years of age or older,No,%,Age-adjusted Prevalence,66.0,576.0,326414.0,Disability Type,Cognitive Disability,Sex,Male,POINT (-84.823107985560 42.034416764810),-84.82310798556,42.03441676481
2016,CT,Connecticut,Health Risks & Behaviors,Binge drinking in the past 30 days among adults 18 years of age or older,Yes,%,Age-adjusted Prevalence,27.4,15.0,6585.0,Disability Status,Any Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",POINT (-80.404243826000 42.158118818375),-80.404243826,42.158118818375
2016,DE,Delaware,Demographics,Income level among adults 18 years of age or older,"<$15,000",%,Age-adjusted Prevalence,20.8,77.0,12200.0,Disability Type,Cognitive Disability,Age Group,21-35,POINT (-77.159184413771 57.680927105503),-77.159184413771,57.680927105503
2016,AK,Alaska,Disability Estimates,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,4.3,145.0,23447.0,Overall,Overall,Age Group,21-35,POINT (-91.307193405286 55.394819990209),-91.307193405286,55.394819990209
2016,AK,Alaska,Health Risks & Behaviors,Smoking status among adults 18 years of age or older,Never Smoker,%,Age-adjusted Prevalence,37.4,161.0,19334.0,Disability Status,Any Disability,Race/Ethnicity,"White, non-Hispanic",POINT (-77.564928288368 50.107484865349),-77.564928288368,50.107484865349
2016,AR,Arkansas,General Health Conditions,Average hours of sleep in a 24-hour period among adults 18 years of age or older,10+ Hours,%,Age-adjusted Prevalence,84.58882940991236,69.38378476556277,176932.47273763217,Disability Type,Vision Disability,Age Group,65+,POINT (-69.482590186582 43.706552234047),-69.482590186582,43.706552234047
2016,AR,Arkansas,Health Risks & Behaviors,Body mass index category among adults 18 years of age or older,Obese,%,Age-adjusted Prevalence,26.452645743881067,821.4752194058004,392419.3242546743,Disability Status,Any Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",POINT (-91.565788979579 54.701814227511),-91.565788979579,54.701814227511
2016,DE,Delaware,Chronic Conditions,Ever had chronic obstructive pulmonary disease (COPD) among adults 18 years of age or older,Yes,%,Age-adjusted Prevalence,17.1,85.0,13118.0,Disability Type,Cognitive Disability,Age Group,36-50,POINT (-76.563541160281 53.782810496391),-76.563541160281,53.782810496391
2016,CO,Colorado,General Health Conditions,Ever had heart disease among adults 18 years of age or older,No,%,Age-adjusted Prevalence,89.2,2520.0,633930.0,Disability Status,Any Disability,Sex,Male,POINT (-88.050004248478 40.692703434285),-88.050004248478,40.692703434285
2016,AZ,Arizona,Prevention & Screenings,Had a flu vaccine in the past 12 months among adults 18 years of age or older,Yes,%,Age-adjusted Prevalence,31.7,637.0,222695.0,Disability Status,Any Disability,Sex,Male,POINT (-82.381293671865 54.876459687111),-82.381293671865,54.876459687111
2016,AL,Alabama,Demographics,Income level among adults 18 years of age or older,"<$15,000",%,Age-adjusted Prevalence,18.5,98.0,36757.0,Disability Type,Hearing Disability,Sex,Male,POINT (-92.125611430521 61.503041869362),-92.125611430521,61.503041869362
2016,CA,California,Demographics,Income level among adults 18 years of age or older,"$50,000+",%,Age-adjusted Prevalence,32.4,728.0,1828444.0,Disability Status,Any Disability,Age Group,45-64,POINT (-78.781839378743 42.578953052022),-78.781839378743,42.578953052022
2016,CT,Connecticut,General Health Conditions,Average hours of sleep in a 24-hour period among adults 18 years of age or older,1-6 Hours,%,Age-adjusted Prevalence,56.6,62.0,16114.0,Disability Status,Any Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",POINT (-83.126887251276 47.613635272936),-83.126887251276,47.613635272936
2016,AR,Arkansas,General Health Conditions,Physically unhealthy days in the past 30 days among adults 18 years of age or older,0 Days,%,Age-adjusted Prevalence,41.4,102.0,36167.0,Disability Status,Any Disability,Race/Ethnicity,"Black, non-Hispanic",POINT (-84.722743567460 50.973639953387),-84.72274356746,50.973639953387
2016,AR,Arkansas,Prevention & Screenings,Visited a dentist in the past year among adults 18 years of age or older,No,%,Age-adjusted Prevalence,34.9,930.0,498565.0,Disability Status,No Disability,Age Group,20-44,POINT (-79.895561232549 52.918578602383),-79.895561232549,52.918578602383
2016,AL,Alabama,Chronic Conditions,Ever had a stroke among adults 18 years of age or older,No,%,Age-adjusted Prevalence,91.3,2225.0,1086382.0,Disability Status,Any Disability,Sex,Female,POINT (-90.840664752724 50.121361113239),-90.840664752724,50.121361113239
2016,CA,California,Health Risks & Behaviors,Body mass index category among adults 18 years of age or older,Normal Weight,%,Age-adjusted Prevalence,32.0,327.0,784125.0,Disability Type,Cognitive Disability,Sex,Female,POINT (-76.205015244862 50.781050264339),-76.205015244862,50.781050264339
2016,AZ,Arizona,Prevention & Screenings,Up-to-date colorectal cancer screening among adults 50 to 75 years of age,Yes,%,Prevalence,63.2,750.0,215833.0,Disability Status,Any Disability,Sex,Female,POINT (-91.152388558407 51.329677617405),-91.152388558407,51.329677617405
2016,AZ,Arizona,Barriers & Costs of Health Care,Health care coverage among adults 18 years of age or older,No,%,Age-adjusted Prevalence,15.8,45.0,28111.0,Disability Type,Vision Disability,Sex,Female,POINT (-89.932852564008 53.609746284320),-89.932852564008,53.60974628432
2016,CT,Connecticut,Mental & Emotional Health,Mentally unhealthy days in the past 30 days among adults 18 years of age or older,1-13 Days,%,Prevalence,29.0,243.0,62464.0,Disability Status,Any Disability,Age Group,45-64,POINT (-69.030488096601 45.587171796500),-69.030488096601,45.5871717965
2016,AR,Arkansas,Barriers & Costs of Health Care,Personal doctor or health care provider among adults 18 years of age or older,1 Provider,%,Age-adjusted Prevalence,75.3,2539.0,1082481.0,Disability Status,No Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",POINT (-71.016166143989 59.770736798471),-71.016166143989,59.770736798471
2016,CO,Colorado,Chronic Conditions,Ever had cancer (excluding skin cancer) among adults 18 years of age or older,Yes,%,Age-adjusted Prevalence,0.8630607055550086,72.65622065216156,335997.0102757429,Disability Status,No Disability,Race/Ethnicity,"Black, non-Hispanic",POINT (-71.794917100387 41.762844629926),-71.794917100387,41.762844629926
2016,AR,Arkansas,General Health Conditions,Fair or poor self-rated health among adults 18 years of age or older,Yes,%,Age-adjusted Prevalence,49.7,794.0,303920.0,Disability Status,Any Disability,Race/Ethnicity,"White, non-Hispanic",POINT (-75.653706643351 61.312803899694),-75.653706643351,61.312803899694
2016,CA,California,Mental & Emotional Health,Mentally unhealthy days in the past 30 days among adults 18 years of age or older,1-13 Days,%,Prevalence,24.5,268.0,574650.0,Disability Status,Any Disability,Age Group,45-64,POINT (-78.647731465544 52.387429425030),-78.647731465544,52.38742942503
2016,AK,Alaska,Health Risks & Behaviors,Ever been tested for HIV among adults 18 to 64 years of age,Yes,%,Age-adjusted Prevalence,49.0,31.0,12946.0,Disability Status,No Disability,Race/Ethnicity,Hispanic,POINT (-85.583009283654 59.806870086221),-85.583009283654,59.806870086221
2016,AZ,Arizona,Health Risks & Behaviors,Current e-cigarette use among adults 18 years of age or older,Yes,%,Prevalence,6.3,89.0,123050.0,Disability Status,No Disability,Age Group,18-44,POINT (-71.356280840469 54.254760693828),-71.356280840469,54.254760693828
2016,AR,Arkansas,Health Risks & Behaviors,Body mass index category among adults 18 years of age or older,Obese,%,Age-adjusted Prevalence,31.2,625.0,312733.0,Disability Status,No Disability,Race/Ethnicity,"White, non-Hispanic",POINT (-81.801139739571 51.570984436068),-81.801139739571,51.570984436068
2016,AL,Alabama,Health Risks & Behaviors,Ever been tested for HIV among adults 18 to 64 years of age,No,%,Age-adjusted Prevalence,64.4,1242.0,815378.0,Disability Status,No Disability,Race/Ethnicity,"White, non-Hispanic",POINT (-89.375346253702 45.800010319413),-89.375346253702,45.800010319413
2016,AR,Arkansas,Prevention & Screenings,Visited a dentist in the past year among adults 18 years of age or older,No,%,Prevalence,37.2,409.0,91311.0,Disability Status,No Disability,Age Group,65+,POINT (-71.615141163860 55.508941940971),-71.61514116386,55.508941940971
2016,DE,Delaware,Mental & Emotional Health,Mentally unhealthy days in the past 30 days among adults 18 years of age or older,1-13 Days,%,Age-adjusted Prevalence,20.5,274.0,54602.0,Disability Status,No Disability,Sex,Female,POINT (-92.106453684609 60.571024269250),-92.106453684609,60.57102426925
2016,AL,Alabama,Mental & Emotional Health,Mentally unhealthy days in the past 30 days among adults 18 years of age or older,1-13 Days,%,Age-adjusted Prevalence,29.6,114.0,55817.0,Disability Type,Hearing Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",POINT (-76.192493698166 57.826506839065),-76.192493698166,57.826506839065
2016,DE,Delaware,Prevention & Screenings,Up-to-date colorectal cancer screening among adults 50 to 75 years of age,Yes,%,Prevalence,71.8,445.0,68480.0,Disability Status,No Disability,Sex,Male,POINT (-71.190424370729 45.162872370148),-71.190424370729,45.162872370148
2016,CA,California,General Health Conditions,Average hours of sleep in a 24-hour period among adults 18 years of age or older,1-6 Hours,%,Age-adjusted Prevalence,46.6,497.0,1081824.0,Disability Status,Any Disability,Race/Ethnicity,"White, non-Hispanic",POINT (-89.551337947346 45.850063607210),-89.551337947346,45.85006360721
2016,DE,Delaware,Chronic Conditions,Ever had a stroke among adults 18 years of age or older,No,%,Age-adjusted Prevalence,98.8,1235.0,257840.0,Disability Status,No Disability,Sex,Male,POINT (-68.985553531137 56.141949259715),-68.985553531137,56.141949259715
2016,CA,California,Demographics,Income level among adults 18 years of age or older,"$50,000+",%,Age-adjusted Prevalence,27.3,331.0,828128.0,Disability Type,Mobility Disability,Race/Ethnicity,"Black, non-Hispanic",POINT (-72.299254394061 55.249890494315),-72.299254394061,55.249890494315
2016,DE,Delaware,Chronic Conditions,Ever had diabetes among adults 18 years of age or older,Yes,%,Prevalence,38.04036428205284,1065.7966563046928,12373.333429560103,Disability Status,Any Disability,Age Group,18-44,POINT (-92.641099168710 45.416653435657),-92.64109916871,45.416653435657
2016,AL,Alabama,Mental & Emotional Health,Ever had depression among adults 18 years of age or older,No,%,Age-adjusted Prevalence,43.1,51.0,17788.0,Disability Status,Any Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",POINT (-92.860122070400 52.482893434542),-92.8601220704,52.482893434542
2016,AZ,Arizona,Health Risks & Behaviors,Attempted to quit smoking in the past 12 months among adults 18 years of age or older who are current every day smokers,Yes,%,Age-adjusted Prevalence,62.8,35.0,23289.0,Disability Type,Vision Disability,Age Group,51-65,POINT (-72.743009910310 61.773052683941),-72.74300991031,61.773052683941
2016,CO,Colorado,Chronic Conditions,Ever had diabetes among adults 18 years of age or older,Yes,%,Prevalence,1.3,55.0,21823.0,Disability Status,No Disability,Age Group,18-44,POINT (-90.927892097420 64.661870483388),-90.92789209742,64.661870483388
2016,CO,Colorado,Chronic Conditions,Ever had arthritis among adults 18 years of age or older,Yes,%,Age-adjusted Prevalence,60.3,1182.0,230098.0,Disability Type,Mobility Disability,Race/Ethnicity,Hispanic,POINT (-74.524090132486 58.990837957612),-74.524090132486,58.990837957612
2016,AK,Alaska,Prevention & Screenings,Routine check-up in the past year among adults 18 years of age or older,No,%,Age-adjusted Prevalence,39.6,597.0,114282.0,Disability Status,No Disability,Race/Ethnicity,"White, non-Hispanic",POINT (-71.834375142631 48.290674766187),-71.834375142631,48.290674766187
2016,AL,Alabama,Chronic Conditions,Ever had arthritis among adults 18 years of age or older,No,%,Age-adjusted Prevalence,48.0,351.0,229684.0,Disability Type,Cognitive Disability,Age Group,25-44,POINT (-74.764420853071 59.997959744940),-74.764420853071,59.99795974494
2016,DE,Delaware,Health Risks & Behaviors,Binge drinking in the past 30 days among adults 18 years of age or older,No,%,Age-adjusted Prevalence,83.4,1007.0,155484.0,Disability Status,Any Disability,Age Group,51-65,POINT (-76.074351046455 63.169477540188),-76.074351046455,63.169477540188
2016,AZ,Arizona,Demographics,Income level among adults 18 years of age or older,"$15,000 to <$25,000",%,Age-adjusted Prevalence,19.6,202.0,73899.0,Disability Type,Hearing Disability,Race/Ethnicity,Hispanic,POINT (-89.657463344890 59.786298334159),-89.65746334489,59.786298334159
2016,AL,Alabama,Barriers & Costs of Health Care,Health care coverage among adults 18 years of age or older,No,%,Prevalence,57.319538911140086,822.563899798698,619291.6820097783,Disability Status,Any Disability,Age Group,65+,POINT (-78.593946162937 42.780187390889),-78.593946162937,42.780187390889
2016,DE,Delaware,Mental & Emotional Health,Mentally unhealthy days in the past 30 days among adults 18 years of age or older,14+ Days,%,Prevalence,7.5,64.0,19542.0,Disability Status,No Disability,Age Group,18-44,POINT (-88.608293422120 47.717622349578),-88.60829342212,47.717622349578
2016,AR,Arkansas,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Non-Veteran,%,Age-adjusted Prevalence,17.7,1116.0,358247.0,Disability Type,Mobility Disability,Age Group,21-35,POINT (-88.968516177320 44.849933817044),-88.96851617732,44.849933817044
