Rowid,Year,LocationAbbr,LocationDesc,DataSource,Category,Indicator,Response,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Number,WeightedNumber,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,CategoryID,IndicatorID,Geolocation,LocationID,ResponseID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2
,2016,CT,Connecticut,BRFSS,General Health Conditions,Average hours of sleep in a 24-hour period among adults 18 years of age or older,1-6 Hours,%,Age-adjusted Prevalence,60,60,,,53.8,66,575,136744,Disability Type,Mobility Disability,,,GENHLTH,SLEEPHRS,,9,SLEEPHRS01,AGEADJPREV,DISTYPE,MOBDIS,,
,2016,DE,Delaware,BRFSS,Barriers & Costs of Health Care,Health care coverage among adults 18 years of age or older,No,%,Age-adjusted Prevalence,28,28,,,22.2,34.6,105,14672,Disability Status,No Disability,Race/Ethnicity,Hispanic,BARRIER,INSURE,,10,YESNO02,AGEADJPREV,DISSTAT,NODIS,RACE,HIS
,2016,AK,Alaska,BRFSS,Chronic Conditions,Ever had diabetes among adults 18 years of age or older,Yes,%,Age-adjusted Prevalence,16.1,16.1,,,11.7,21.7,80,10701,Disability Status,Any Disability,Sex,Female,CHRCOND,DIAB,,2,YESNO01,AGEADJPREV,DISSTAT,DISABL,SEX,GENF
,2016,CA,California,BRFSS,Demographics,Employment status among adults 18 years of age or older,Employed,%,Age-adjusted Prevalence,63.4,63.4,,,62.1,64.7,5099,14135457,Disability Status,No Disability,,,DEMOG,JOB,,6,JOB01,AGEADJPREV,DISSTAT,NODIS,,
,2016,AK,Alaska,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,18-44,%,Prevalence,8.4,8.4,,,6.1,11.6,58,23525,Disability Type,Cognitive Disability,,,DISEST,AGEIND,,2,AGE01,PREV,DISTYPE,COGDIS,,
,2016,CA,California,BRFSS,Prevention & Screenings,Had a flu vaccine in the past 12 months among adults 18 years of age or older,No,%,Age-adjusted Prevalence,70,70,,,64.6,74.9,279,732481,Disability Type,Vision Disability,,,PREVENT,FLUVAC,,6,YESNO02,AGEADJPREV,DISTYPE,VISDIS,,
,2016,AR,Arkansas,BRFSS,Chronic Conditions,Ever had chronic obstructive pulmonary disease (COPD) among adults 18 years of age or older,No,%,Age-adjusted Prevalence,,,*,Data suppressed. Estimates were suppressed if the standard error was greater than or equal to 30% of the estimate or if the unweighted total population was less than 50.,,,,,Disability Status,Any Disability,Race/Ethnicity,Hispanic,CHRCOND,COPD,,5,YESNO02,AGEADJPREV,DISSTAT,DISABL,RACE,HIS
,2016,AL,Alabama,BRFSS,Health Risks & Behaviors,Body mass index category among adults 18 years of age or older,Obese,%,Age-adjusted Prevalence,40.4,40.4,,,35.8,45.1,378,204593,Disability Type,Cognitive Disability,,,HLTHRB,BMI,,1,BMI04,AGEADJPREV,DISTYPE,COGDIS,,
,2016,AL,Alabama,BRFSS,Health Risks & Behaviors,Body mass index category among adults 18 years of age or older,Underweight,%,Age-adjusted Prevalence,,,*,Data suppressed. Estimates were suppressed if the standard error was greater than or equal to 30% of the estimate or if the unweighted total population was less than 50.,,,,,Disability Type,Vision Disability,,,HLTHRB,BMI,,1,BMI01,AGEADJPREV,DISTYPE,VISDIS,,
,2016,AR,Arkansas,BRFSS,Chronic Conditions,Ever had a stroke among adults 18 years of age or older,No,%,Age-adjusted Prevalence,94.5,94.5,,,87.9,97.5,107,33844,Disability Status,Any Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",CHRCOND,STROKE,,5,YESNO02,AGEADJPREV,DISSTAT,DISABL,RACE,MRC
,2016,AR,Arkansas,BRFSS,General Health Conditions,Average hours of sleep in a 24-hour period among adults 18 years of age or older,1-6 Hours,%,Age-adjusted Prevalence,37.8,37.8,,,30.4,45.8,265,135970,Disability Status,Any Disability,Sex,Male,GENHLTH,SLEEPHRS,,5,SLEEPHRS01,AGEADJPREV,DISSTAT,DISABL,SEX,GENM
,2016,AL,Alabama,BRFSS,Barriers & Costs of Health Care,Health care coverage among adults 18 years of age or older,No,%,Age-adjusted Prevalence,8.9,8.9,,,7.4,10.7,183,136771,Disability Status,No Disability,Race/Ethnicity,"White, non-Hispanic",BARRIER,INSURE,,1,YESNO02,AGEADJPREV,DISSTAT,NODIS,RACE,WHT
,2016,CO,Colorado,BRFSS,Demographics,Income level among adults 18 years of age or older,"$15,000 to <$25,000",%,Age-adjusted Prevalence,15.8,15.8,,,11.5,21.2,139,27670,Disability Type,Hearing Disability,,,DEMOG,INCOMEN,,8,INCOME02,AGEADJPREV,DISTYPE,HEARDIS,,
,2016,AK,Alaska,BRFSS,General Health Conditions,Physically unhealthy days in the past 30 days among adults 18 years of age or older,1-13 Days,%,Age-adjusted Prevalence,28.1,28.1,,,23.9,32.6,301,55766,Disability Status,No Disability,Sex,Female,GENHLTH,PHDAYS,,2,DAYS02,AGEADJPREV,DISSTAT,NODIS,SEX,GENF
,2016,CA,California,BRFSS,Health Risks & Behaviors,Body mass index category among adults 18 years of age or older,Normal Weight,%,Age-adjusted Prevalence,31.3,31.3,,,27.7,35.2,442,973278,Disability Status,Any Disability,Sex,Female,HLTHRB,BMI,,6,BMI02,AGEADJPREV,DISSTAT,DISABL,SEX,GENF
,2016,CO,Colorado,BRFSS,Prevention & Screenings,Mammogram in the past 2 years among females 50 to 74 years of age,Yes,%,Prevalence,78.7,78.7,,,69.8,85.5,123,23061,Disability Type,Hearing Disability,,,PREVENT,MAM2YR,,8,YESNO01,PREV,DISTYPE,HEARDIS,,
,2016,CO,Colorado,BRFSS,Mental & Emotional Health,Mentally unhealthy days in the past 30 days among adults 18 years of age or older,14+ Days,%,Age-adjusted Prevalence,28.5,28.5,,,24.4,33,230,80911,Disability Status,Any Disability,Sex,Male,MHLTH,MHDAYS,,8,DAYS03,AGEADJPREV,DISSTAT,DISABL,SEX,GENM
,2016,AK,Alaska,BRFSS,Barriers & Costs of Health Care,Personal doctor or health care provider among adults 18 years of age or older,None,%,Age-adjusted Prevalence,59.3,59.3,,,44,73,31,17223,Disability Status,No Disability,Race/Ethnicity,Hispanic,BARRIER,PROVIDER,,2,PROVIDER01,AGEADJPREV,DISSTAT,NODIS,RACE,HIS
,2016,DE,Delaware,BRFSS,Barriers & Costs of Health Care,Personal doctor or health care provider among adults 18 years of age or older,None,%,Age-adjusted Prevalence,16.3,16.3,,,13.8,19.1,224,50091,Disability Status,No Disability,Race/Ethnicity,"White, non-Hispanic",BARRIER,PROVIDER,,10,PROVIDER01,AGEADJPREV,DISSTAT,NODIS,RACE,WHT
,2016,AR,Arkansas,BRFSS,Mental & Emotional Health,Ever had depression among adults 18 years of age or older,No,%,Age-adjusted Prevalence,92.7,92.7,,,82.8,97.1,75,92136,Disability Status,No Disability,Race/Ethnicity,Hispanic,MHLTH,DEPRESS,,5,YESNO02,AGEADJPREV,DISSTAT,NODIS,RACE,HIS
,2016,DE,Delaware,BRFSS,Prevention & Screenings,Up-to-date cervical cancer screening among females 21 to 65 years of age,Yes,%,Prevalence,82.7,82.7,,,77.9,86.6,703,148333,Disability Status,No Disability,,,PREVENT,UTDCERV,,10,YESNO01,PREV,DISSTAT,NODIS,,
,2016,AZ,Arizona,BRFSS,Health Risks & Behaviors,Body mass index category among adults 18 years of age or older,Underweight,%,Age-adjusted Prevalence,,,*,Data suppressed. Estimates were suppressed if the standard error was greater than or equal to 30% of the estimate or if the unweighted total population was less than 50.,,,,,Disability Status,Any Disability,Sex,Female,HLTHRB,BMI,,4,BMI01,AGEADJPREV,DISSTAT,DISABL,SEX,GENF
,2016,CT,Connecticut,BRFSS,General Health Conditions,Fallen in the past 12 months among adults 45 years of age or older,No,%,Age-adjusted Prevalence,59,59,,,56,61.9,1300,245331,Disability Status,Any Disability,,,GENHLTH,FALL12M,,9,YESNO02,AGEADJPREV,DISSTAT,DISABL,,
,2016,AZ,Arizona,BRFSS,Health Risks & Behaviors,Smoking status among adults 18 years of age or older,Never Smoker,%,Prevalence,50.5,50.5,,,48,53.1,1463,320731,Disability Status,No Disability,Age Group,65+,HLTHRB,SMOKE,,4,SMOKE03,PREV,DISSTAT,NODIS,AGEGRP,AGE03
,2016,AL,Alabama,BRFSS,Chronic Conditions,Ever had arthritis among adults 18 years of age or older,Yes,%,Age-adjusted Prevalence,65.6,65.6,,,60.1,70.8,1252,531135,Disability Type,Mobility Disability,,,CHRCOND,ARTHRITIS,,1,YESNO01,AGEADJPREV,DISTYPE,MOBDIS,,
,2016,CO,Colorado,BRFSS,General Health Conditions,Fair or poor self-rated health among adults 18 years of age or older,Yes,%,Prevalence,38.7,38.7,,,33.5,44.2,174,98796,Disability Status,Any Disability,Age Group,18-44,GENHLTH,HEALTH,,8,YESNO01,PREV,DISSTAT,DISABL,AGEGRP,AGE01
,2016,AL,Alabama,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,18-44,%,Prevalence,8.9,8.9,,,7.4,10.7,176,147024,Disability Type,Mobility Disability,,,DISEST,AGEIND,,1,AGE01,PREV,DISTYPE,MOBDIS,,
,2016,AZ,Arizona,BRFSS,Prevention & Screenings,Had a flu vaccine in the past 12 months among adults 18 years of age or older,Yes,%,Prevalence,52.7,52.7,,,50.1,55.3,1539,332669,Disability Status,No Disability,Age Group,65+,PREVENT,FLUVAC,,4,YESNO01,PREV,DISSTAT,NODIS,AGEGRP,AGE03
,2016,AK,Alaska,BRFSS,General Health Conditions,Physically unhealthy days in the past 30 days among adults 18 years of age or older,1-13 Days,%,Prevalence,25.4,25.4,,,21.4,29.9,242,35970,Disability Status,No Disability,Age Group,45-64,GENHLTH,PHDAYS,,2,DAYS02,PREV,DISSTAT,NODIS,AGEGRP,AGE02
,2016,CO,Colorado,BRFSS,Health Risks & Behaviors,Body mass index category among adults 18 years of age or older,Obese,%,Age-adjusted Prevalence,29.6,29.6,,,26.1,33.3,646,142604,Disability Status,Any Disability,Race/Ethnicity,"White, non-Hispanic",HLTHRB,BMI,,8,BMI04,AGEADJPREV,DISSTAT,DISABL,RACE,WHT
,2016,CO,Colorado,BRFSS,Health Risks & Behaviors,Binge drinking in the past 30 days among adults 18 years of age or older,No,%,Age-adjusted Prevalence,88.6,88.6,,,81.9,93,198,93690,Disability Status,No Disability,Race/Ethnicity,"Black, non-Hispanic",HLTHRB,BINGE,,8,YESNO02,AGEADJPREV,DISSTAT,NODIS,RACE,BLK
,2016,AL,Alabama,BRFSS,Chronic Conditions,Ever had cancer (excluding skin cancer) among adults 18 years of age or older,Yes,%,Prevalence,15.3,15.3,,,12.9,18.2,180,61969,Disability Status,No Disability,Age Group,65+,CHRCOND,OTHCAN,,1,YESNO01,PREV,DISSTAT,NODIS,AGEGRP,AGE03
,2016,CA,California,BRFSS,Prevention & Screenings,Up-to-date colorectal cancer screening among adults 50 to 75 years of age,Yes,%,Prevalence,66.5,66.5,,,60.3,72.2,361,812203,Disability Status,Any Disability,Sex,Male,PREVENT,UTDCRC,,6,YESNO01,PREV,DISSTAT,DISABL,SEX,GENM
,2016,CO,Colorado,BRFSS,Barriers & Costs of Health Care,Personal doctor or health care provider among adults 18 years of age or older,2+ Providers,%,Age-adjusted Prevalence,12.2,12.2,,,6.7,21.1,21,4542,Disability Status,Any Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",BARRIER,PROVIDER,,8,PROVIDER03,AGEADJPREV,DISSTAT,DISABL,RACE,MRC
,2016,AZ,Arizona,BRFSS,Chronic Conditions,Ever had arthritis among adults 18 years of age or older,Yes,%,Age-adjusted Prevalence,19.1,19.1,,,17.6,20.7,1316,365750,Disability Status,No Disability,Sex,Female,CHRCOND,ARTHRITIS,,4,YESNO01,AGEADJPREV,DISSTAT,NODIS,SEX,GENF
,2016,CA,California,BRFSS,Prevention & Screenings,Mammogram in the past 2 years among females 50 to 74 years of age,Yes,%,Prevalence,83.3,83.3,,,77.6,87.9,254,561667,Disability Status,No Disability,Race/Ethnicity,Hispanic,PREVENT,MAM2YR,,6,YESNO01,PREV,DISSTAT,NODIS,RACE,HIS
,2016,DE,Delaware,BRFSS,Health Risks & Behaviors,Smoking status among adults 18 years of age or older,Never Smoker,%,Age-adjusted Prevalence,54.9,54.9,,,51.5,58.3,1032,187397,Disability Status,No Disability,Race/Ethnicity,"White, non-Hispanic",HLTHRB,SMOKE,,10,SMOKE03,AGEADJPREV,DISSTAT,NODIS,RACE,WHT
,2016,AZ,Arizona,BRFSS,Health Risks & Behaviors,Attempted to quit smoking in the past 12 months among adults 18 years of age or older who are current every day smokers,No,%,Age-adjusted Prevalence,58.7,58.7,,,50.5,66.5,251,113378,Disability Status,No Disability,Race/Ethnicity,"White, non-Hispanic",HLTHRB,QUITSMK,,4,YESNO02,AGEADJPREV,DISSTAT,NODIS,RACE,WHT
,2016,AZ,Arizona,BRFSS,General Health Conditions,Fallen in the past 12 months among adults 45 years of age or older,No,%,Age-adjusted Prevalence,59.1,59.1,,,54.1,63.9,659,241636,Disability Status,Any Disability,Sex,Male,GENHLTH,FALL12M,,4,YESNO02,AGEADJPREV,DISSTAT,DISABL,SEX,GENM
,2016,AK,Alaska,BRFSS,Chronic Conditions,Ever had cancer (excluding skin cancer) among adults 18 years of age or older,No,%,Prevalence,78,78,,,61.3,88.8,235,23747,Disability Status,Any Disability,Age Group,65+,CHRCOND,OTHCAN,,2,YESNO02,PREV,DISSTAT,DISABL,AGEGRP,AGE03
,2016,AR,Arkansas,BRFSS,Barriers & Costs of Health Care,Personal doctor or health care provider among adults 18 years of age or older,None,%,Age-adjusted Prevalence,,,*,Data suppressed. Estimates were suppressed if the standard error was greater than or equal to 30% of the estimate or if the unweighted total population was less than 50.,,,,,Disability Status,Any Disability,Race/Ethnicity,Hispanic,BARRIER,PROVIDER,,5,PROVIDER01,AGEADJPREV,DISSTAT,DISABL,RACE,HIS
,2016,CT,Connecticut,BRFSS,General Health Conditions,Average hours of sleep in a 24-hour period among adults 18 years of age or older,1-6 Hours,%,Age-adjusted Prevalence,28.7,28.7,,,26.6,30.9,982,299397,Disability Status,No Disability,Sex,Male,GENHLTH,SLEEPHRS,,9,SLEEPHRS01,AGEADJPREV,DISSTAT,NODIS,SEX,GENM
,2016,AL,Alabama,BRFSS,Prevention & Screenings,Had a flu vaccine in the past 12 months among adults 18 years of age or older,No,%,Age-adjusted Prevalence,66,66,,,61.8,69.9,576,326414,Disability Type,Cognitive Disability,,,PREVENT,FLUVAC,,1,YESNO02,AGEADJPREV,DISTYPE,COGDIS,,
,2016,CT,Connecticut,BRFSS,Health Risks & Behaviors,Binge drinking in the past 30 days among adults 18 years of age or older,Yes,%,Age-adjusted Prevalence,27.4,27.4,,,16.8,41.4,15,6585,Disability Status,Any Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",HLTHRB,BINGE,,9,YESNO01,AGEADJPREV,DISSTAT,DISABL,RACE,MRC
,2016,DE,Delaware,BRFSS,Demographics,Income level among adults 18 years of age or older,"<$15,000",%,Age-adjusted Prevalence,20.8,20.8,,,15.5,27.3,77,12200,Disability Type,Cognitive Disability,,,DEMOG,INCOMEN,,10,INCOME01,AGEADJPREV,DISTYPE,COGDIS,,
,2016,AK,Alaska,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,4.3,4.3,,,3.4,5.4,145,23447,Overall,Overall,,,DISEST,STATTYPE,,2,Q6IND,AGEADJPREV,CAT1,BO1,,
,2016,AK,Alaska,BRFSS,Health Risks & Behaviors,Smoking status among adults 18 years of age or older,Never Smoker,%,Age-adjusted Prevalence,37.4,37.4,,,28.1,47.7,161,19334,Disability Status,Any Disability,Race/Ethnicity,"White, non-Hispanic",HLTHRB,SMOKE,,2,SMOKE03,AGEADJPREV,DISSTAT,DISABL,RACE,WHT
,2016,AR,Arkansas,BRFSS,General Health Conditions,Average hours of sleep in a 24-hour period among adults 18 years of age or older,10+ Hours,%,Age-adjusted Prevalence,,,*,Data suppressed. Estimates were suppressed if the standard error was greater than or equal to 30% of the estimate or if the unweighted total population was less than 50.,,,,,Disability Type,Vision Disability,,,GENHLTH,SLEEPHRS,,5,SLEEPHRS03,AGEADJPREV,DISTYPE,VISDIS,,
,2016,AR,Arkansas,BRFSS,Health Risks & Behaviors,Body mass index category among adults 18 years of age or older,Obese,%,Age-adjusted Prevalence,,,*,Data suppressed. Estimates were suppressed if the standard error was greater than or equal to 30% of the estimate or if the unweighted total population was less than 50.,,,,,Disability Status,Any Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",HLTHRB,BMI,,5,BMI04,AGEADJPREV,DISSTAT,DISABL,RACE,MRC
,2016,DE,Delaware,BRFSS,Chronic Conditions,Ever had chronic obstructive pulmonary disease (COPD) among adults 18 years of age or older,Yes,%,Age-adjusted Prevalence,17.1,17.1,,,12.6,22.9,85,13118,Disability Type,Cognitive Disability,,,CHRCOND,COPD,,10,YESNO01,AGEADJPREV,DISTYPE,COGDIS,,
,2016,CO,Colorado,BRFSS,General Health Conditions,Ever had heart disease among adults 18 years of age or older,No,%,Age-adjusted Prevalence,89.2,89.2,,,87.6,90.6,2520,633930,Disability Status,Any Disability,,,GENHLTH,HEART,,8,YESNO02,AGEADJPREV,DISSTAT,DISABL,,
,2016,AZ,Arizona,BRFSS,Prevention & Screenings,Had a flu vaccine in the past 12 months among adults 18 years of age or older,Yes,%,Age-adjusted Prevalence,31.7,31.7,,,27.1,36.7,637,222695,Disability Status,Any Disability,Sex,Male,PREVENT,FLUVAC,,4,YESNO01,AGEADJPREV,DISSTAT,DISABL,SEX,GENM
,2016,AL,Alabama,BRFSS,Demographics,Income level among adults 18 years of age or older,"<$15,000",%,Age-adjusted Prevalence,18.5,18.5,,,13.1,25.6,98,36757,Disability Type,Hearing Disability,,,DEMOG,INCOMEN,,1,INCOME01,AGEADJPREV,DISTYPE,HEARDIS,,
,2016,CA,California,BRFSS,Demographics,Income level among adults 18 years of age or older,"$50,000+",%,Age-adjusted Prevalence,32.4,32.4,,,29.5,35.5,728,1828444,Disability Status,Any Disability,,,DEMOG,INCOMEN,,6,INCOME05,AGEADJPREV,DISSTAT,DISABL,,
,2016,CT,Connecticut,BRFSS,General Health Conditions,Average hours of sleep in a 24-hour period among adults 18 years of age or older,1-6 Hours,%,Age-adjusted Prevalence,56.6,56.6,,,42.7,69.4,62,16114,Disability Status,Any Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",GENHLTH,SLEEPHRS,,9,SLEEPHRS01,AGEADJPREV,DISSTAT,DISABL,RACE,MRC
,2016,AR,Arkansas,BRFSS,General Health Conditions,Physically unhealthy days in the past 30 days among adults 18 years of age or older,0 Days,%,Age-adjusted Prevalence,41.4,41.4,,,28.2,56,102,36167,Disability Status,Any Disability,Race/Ethnicity,"Black, non-Hispanic",GENHLTH,PHDAYS,,5,DAYS01,AGEADJPREV,DISSTAT,DISABL,RACE,BLK
,2016,AR,Arkansas,BRFSS,Prevention & Screenings,Visited a dentist in the past year among adults 18 years of age or older,No,%,Age-adjusted Prevalence,34.9,34.9,,,31.9,38,930,498565,Disability Status,No Disability,,,PREVENT,DENTIST,,5,YESNO02,AGEADJPREV,DISSTAT,NODIS,,
,2016,AL,Alabama,BRFSS,Chronic Conditions,Ever had a stroke among adults 18 years of age or older,No,%,Age-adjusted Prevalence,91.3,91.3,,,89.5,92.8,2225,1086382,Disability Status,Any Disability,,,CHRCOND,STROKE,,1,YESNO02,AGEADJPREV,DISSTAT,DISABL,,
,2016,CA,California,BRFSS,Health Risks & Behaviors,Body mass index category among adults 18 years of age or older,Normal Weight,%,Age-adjusted Prevalence,32,32,,,28.3,36,327,784125,Disability Type,Cognitive Disability,,,HLTHRB,BMI,,6,BMI02,AGEADJPREV,DISTYPE,COGDIS,,
,2016,AZ,Arizona,BRFSS,Prevention & Screenings,Up-to-date colorectal cancer screening among adults 50 to 75 years of age,Yes,%,Prevalence,63.2,63.2,,,58.6,67.6,750,215833,Disability Status,Any Disability,Sex,Female,PREVENT,UTDCRC,,4,YESNO01,PREV,DISSTAT,DISABL,SEX,GENF
,2016,AZ,Arizona,BRFSS,Barriers & Costs of Health Care,Health care coverage among adults 18 years of age or older,No,%,Age-adjusted Prevalence,15.8,15.8,,,9.4,25.2,45,28111,Disability Type,Vision Disability,,,BARRIER,INSURE,,4,YESNO02,AGEADJPREV,DISTYPE,VISDIS,,
,2016,CT,Connecticut,BRFSS,Mental & Emotional Health,Mentally unhealthy days in the past 30 days among adults 18 years of age or older,1-13 Days,%,Prevalence,29,29,,,25.3,33,243,62464,Disability Status,Any Disability,Age Group,45-64,MHLTH,MHDAYS,,9,DAYS02,PREV,DISSTAT,DISABL,AGEGRP,AGE02
,2016,AR,Arkansas,BRFSS,Barriers & Costs of Health Care,Personal doctor or health care provider among adults 18 years of age or older,1 Provider,%,Age-adjusted Prevalence,75.3,75.3,,,72.2,78.1,2539,1082481,Disability Status,No Disability,,,BARRIER,PROVIDER,,5,PROVIDER02,AGEADJPREV,DISSTAT,NODIS,,
,2016,CO,Colorado,BRFSS,Chronic Conditions,Ever had cancer (excluding skin cancer) among adults 18 years of age or older,Yes,%,Age-adjusted Prevalence,,,*,Data suppressed. Estimates were suppressed if the standard error was greater than or equal to 30% of the estimate or if the unweighted total population was less than 50.,,,,,Disability Status,No Disability,Race/Ethnicity,"Black, non-Hispanic",CHRCOND,OTHCAN,,8,YESNO01,AGEADJPREV,DISSTAT,NODIS,RACE,BLK
,2016,AR,Arkansas,BRFSS,General Health Conditions,Fair or poor self-rated health among adults 18 years of age or older,Yes,%,Age-adjusted Prevalence,49.7,49.7,,,43.3,56.1,794,303920,Disability Status,Any Disability,Race/Ethnicity,"White, non-Hispanic",GENHLTH,HEALTH,,5,YESNO01,AGEADJPREV,DISSTAT,DISABL,RACE,WHT
,2016,CA,California,BRFSS,Mental & Emotional Health,Mentally unhealthy days in the past 30 days among adults 18 years of age or older,1-13 Days,%,Prevalence,24.5,24.5,,,21.2,28,268,574650,Disability Status,Any Disability,Age Group,45-64,MHLTH,MHDAYS,,6,DAYS02,PREV,DISSTAT,DISABL,AGEGRP,AGE02
,2016,AK,Alaska,BRFSS,Health Risks & Behaviors,Ever been tested for HIV among adults 18 to 64 years of age,Yes,%,Age-adjusted Prevalence,49,49,,,32.6,65.6,31,12946,Disability Status,No Disability,Race/Ethnicity,Hispanic,HLTHRB,TESTEVER,,2,YESNO01,AGEADJPREV,DISSTAT,NODIS,RACE,HIS
,2016,AZ,Arizona,BRFSS,Health Risks & Behaviors,Current e-cigarette use among adults 18 years of age or older,Yes,%,Prevalence,6.3,6.3,,,4.9,8,89,123050,Disability Status,No Disability,Age Group,18-44,HLTHRB,ECIG,,4,YESNO01,PREV,DISSTAT,NODIS,AGEGRP,AGE01
,2016,AR,Arkansas,BRFSS,Health Risks & Behaviors,Body mass index category among adults 18 years of age or older,Obese,%,Age-adjusted Prevalence,31.2,31.2,,,27.9,34.8,625,312733,Disability Status,No Disability,Race/Ethnicity,"White, non-Hispanic",HLTHRB,BMI,,5,BMI04,AGEADJPREV,DISSTAT,NODIS,RACE,WHT
